CONSULTA DE CENTROS Y SERVICIOS EDUCATIVOS;;;;;;;;;;;;;;
AREA TERRITORIAL;CODIGO CENTRO;TIPO DE CENTRO;CENTRO;DOMICILIO;MUNICIPIO;DISTRITO MUNICIPAL;COD. POSTAL;TELEFONO;FAX;EMAIL;EMAIL2;INTEGRACION PREFERENTE;TITULARIDAD;SERVICIOS
Madrid-Capital;28063799;CP INF-PRI-SEC;ADOLFO SUAREZ;Calle De La Infanta Catalina Micaela, 31 ;Madrid;Hortaleza;28050;917502058;917189274;cp.adolfosuarez.madrid@educa.madrid.org;-;Transt. Desarrollo;Público;Horario ampliado,Comedor,Activid. .Extraesc.;
Madrid-Oeste;28060348;CP INF-PRI-SEC;EL CANTIZAL;Avenida De Atenas, S/n ;Rozas de Madrid, Las;-;28232;916030099;916317527;cp.elcantizal.lasrozas@educa.madrid.org;-;Transt. Desarrollo;Público;Horario ampliado,Comedor;
Madrid-Oeste;28057076;CP INF-PRI-SEC;EL ENCINAR;Calle Ribadesella, S/n ;Torrelodones;-;28250;918593112;918592885;cp.elencinar.torrelodones@educa.madrid.org;-;Motóricos,Transt. Desarrollo;Público;Transporte,Horario ampliado,Comedor,Activid. .Extraesc.;
Madrid-Sur;28002026;CP INF-PRI-SEC;EUGENIO MURO;Carretera Rozas De Puerto Real, 20 ;Cadalso de los Vidrios;-;28640;918640158;918641288;cp.eugeniomuro.cadalso@educa.madrid.org;-;-;Público;Transporte,Horario ampliado,Comedor,Activid. .Extraesc.;
Madrid-Este;28002038;CP INF-PRI-SEC;FEDERICO GARCIA LORCA;Calle De La Huerta, S/n ;Camarma de Esteruelas;-;28816;918865256;918865248;cp.garcialorca.camarma@educa.madrid.org;-;-;Público;Horario ampliado,Comedor,Activid. .Extraesc.;
Madrid-Sur;28023364;CP INF-PRI-SEC;ISABEL LA CATOLICA;Calle Vía Olímpica, S/n ;Navas del Rey;-;28695;918650536;918650790;cp.isabellacatolica.navas@educa.madrid.org;-;-;Público;Transporte,Horario ampliado,Comedor,Activid. .Extraesc.;
Madrid-Norte;28025403;CP INF-PRI-SEC;JESUS ARAMBURU;Calle Del Jarama, 10 ;Valdetorres de Jarama;-;28150;918472060;918415204;cp.jesusaramburu.valdetorres@educa.madrid.org;-;-;Público;Horario ampliado,Comedor,Activid. .Extraesc.;
Madrid-Este;28023388;CP INF-PRI-SEC;JUAN DE GOYENECHE;Avenida Glasgow, 1 ;Nuevo Baztán;-;28514;918735070;918734258;cp.goyeneche.nuevobaztan@educa.madrid.org;-;Transt. Desarrollo;Público;Transporte,Horario ampliado,Comedor,Activid. .Extraesc.;
Madrid-Oeste;28001812;CP INF-PRI-SEC;JUAN RAMON JIMENEZ;Paseo De San Sebastián, 23 ;Becerril de la Sierra;-;28490;918538064;918555468;cp.juanramonjimenez.becerril@educa.madrid.org;colegiobecerril@gmail.com;Auditivos;Público;Transporte,Horario ampliado,Comedor;
Madrid-Este;28077348;CP INF-PRI-SEC;LA LUNA;Avenida De La Tierra, 2 ;Rivas-Vaciamadrid;-;28523;916665859;-;cp.laluna.rivas@educa.madrid.org;-;Transt. Desarrollo;Público;Horario ampliado,Comedor;
Madrid-Oeste;28023741;CP INF-PRI-SEC;LOS ANGELES;Calle Diego De Velázquez, 5 ;Pozuelo de Alarcón;-;28223;917116584;915180145;cp.losangeles.pozuelodealarcon@educa.madrid.org;-;Auditivos;Público;Horario ampliado,Comedor;
Madrid-Sur;28070691;CP INF-PRI-SEC;MAESTRO RODRIGO;Avenida Memorial De La Paz De Hiroshima, S/n ;Aranjuez;-;28300;918927841;918928169;cp.maestrorodrigo.aranjuez@educa.madrid.org;-;Transt. Desarrollo;Público;Horario ampliado,Comedor;
Madrid-Sur;28063878;CP INF-PRI-SEC;MARIA MARTIN;Calle De Las Víctimas Del Terrorismo, S/n ;Navalcarnero;-;28600;918110110;918115517;cp.mariamartin.navalcarnero@educa.madrid.org;-;Motóricos,Transt. Desarrollo;Público;Transporte,Horario ampliado,Comedor;
Madrid-Oeste;28057088;CP INF-PRI-SEC;MARIA MOLINER;Avenida Rioja, 14 ;Villanueva de la Cañada;-;28691;918155505;-;cp.mariamoliner.villanuevadelacanada@educa.madrid.org;-;Motóricos,Transt. Desarrollo;Público;Transporte,Horario ampliado,Comedor,Activid. .Extraesc.;
