CONSULTA DE CENTROS Y SERVICIOS EDUCATIVOS;;;;;;;;;;;;
AREA TERRITORIAL;CODIGO CENTRO;TIPO DE CENTRO;CENTRO;DOMICILIO;MUNICIPIO;DISTRITO MUNICIPAL;COD. POSTAL;TELEFONO;FAX;INTEGRACION PREFERENTE;TITULARIDAD;SERVICIOS
Madrid-Capital;28056382;ZNAS.CN.;CAPITAL-1, NTRA. SRA. DE LA FUENCISLA;Calle De Tomelloso, 39 ;Madrid;Usera;28026;914752598;-;-;Público;-;
Madrid-Capital;28057416;ZNAS.CN.;CAPITAL-3, SAN MIGUEL;Avenida De La Virgen Del Carmen, 32 ;Madrid;Hortaleza;28033;913820145;-;-;Público;-;
Madrid-Este;28056242;ZNAS.CN.;ESTE-1, VILLAREJO DE SALVANES;Calle De San José, 2 ;Villarejo de Salvanés;-;28590;918745068;-;-;Público;-;
Madrid-Este;28062680;ZNAS.CN.;ESTE-10, TIELMES;Calle De La Perdiz, 6 ;Tielmes;-;28550;918746117;-;-;Público;-;
Madrid-Este;28068797;ZNAS.CN.;ESTE-11, CAMPO REAL;Calle Peaje, 4 ;Campo Real;-;28510;918733548;-;-;Público;-;
Madrid-Este;28056254;ZNAS.CN.;ESTE-2, SAN MARTIN DE LA VEGA;Avenida Del Doce De Octubre, 33 ;San Martín de la Vega;-;28330;918946668;-;-;Público;-;
Madrid-Este;28056266;ZNAS.CN.;ESTE-3, ARGANDA;Calle Gran Vía, S/n ;Arganda del Rey;-;28500;918702178;-;-;Público;-;
Madrid-Este;28056291;ZNAS.CN.;ESTE-4, VILLAR DEL OLMO;Calle Carlos Ruiz, 13 ;Villar del Olmo;-;28512;918732179;-;-;Público;-;
Madrid-Este;28056278;ZNAS.CN.;ESTE-5, ALCALA DE HENARES;Avenida Reyes Magos, 13 ;Alcalá de Henares;-;28806;918838709;-;-;Público;-;
Madrid-Este;28076575;ZNAS.CN.;ESTE-6,  SANTOS DE LA HUMOSA;Avenida De Madrid, 30 ;Santos de la Humosa, Los;-;28817;-;-;-;Público;-;
Madrid-Este;28056308;ZNAS.CN.;ESTE-7, SAN FERNANDO DE HENARES;Calle De La Solana, S/n ;San Fernando de Henares;-;28830;916734343;-;-;Público;-;
Madrid-Este;28056311;ZNAS.CN.;ESTE-8, ORUSCO;Calle José Cañaveras, 26 ;Orusco de Tajuña;-;28570;918724800;918724046;-;Público;-;
Madrid-Este;28057829;ZNAS.CN.;ESTE-9, TORRES DE LA ALAMEDA;Plaza De Los Morales, 6 ;Torres de la Alameda;-;28813;918858489;-;-;Público;-;
Madrid-Norte;28056151;ZNAS.CN.;NORTE-1, COLMENAR VIEJO;Calle De Gustavo Adolfo Bécquer, 18 ;Colmenar Viejo;-;28770;918457671;918457014;-;Público;-;
Madrid-Norte;28062679;ZNAS.CN.;NORTE-10, VALDEOLMOS-ALALPARDO;Calle De Alcalá, 25 ;Valdeolmos-Alalpardo;-;28130;916202821;-;-;Público;-;
Madrid-Norte;28056175;ZNAS.CN.;NORTE-3, BUITRAGO DE LOZOYA;Calle De San Salvador, 6 ;Buitrago del Lozoya;-;28730;918694094;-;-;Público;Comedor;
Madrid-Norte;28056187;ZNAS.CN.;NORTE-4, VENTURADA;Calle De Los Álamos, S/n ;Venturada;-;28729;918439531;-;-;Público;-;
Madrid-Norte;28056205;ZNAS.CN.;NORTE-6, TORREMOCHA DE JARAMA;Calle Del Río Jarama, 20 ;Torremocha de Jarama;-;28189;918430904;-;-;Público;-;
Madrid-Norte;28056217;ZNAS.CN.;NORTE-7, LOZOYUELA;Camino Viejo De Torrelaguna, 2 ;Lozoyuela-Navas-Sieteiglesias;-;28752;918694094;-;-;Público;-;
Madrid-Norte;28057374;ZNAS.CN.;NORTE-8, TALAMANCA DE JARAMA;Calle Almazara, 22 ;Talamanca de Jarama;-;28160;918433911;-;-;Público;-;
Madrid-Oeste;28056229;ZNAS.CN.;OESTE-1, VALDEMORILLO;Calle Eras De San Juan, 12 ;Valdemorillo;-;28210;918990257;-;-;Público;-;
Madrid-Oeste;28056230;ZNAS.CN.;OESTE-2, MORALZARZAL;Camino De Alpedrete, 2 ;Moralzarzal;-;28411;918578421;-;-;Público;Comedor;
Madrid-Oeste;28057404;ZNAS.CN.;OESTE-3, GUADARRAMA;Calle De Los Dos Escoriales, 3 ;Guadarrama;-;28440;918548694;-;-;Público;-;
Madrid-Oeste;28058871;ZNAS.CN.;OESTE-4, ROBLEDO DE CHAVELA;Carretera M-512 (navas Del Rey), 9 ;Robledo de Chavela;-;28294;918998248;-;-;Público;-;
Madrid-Sur;28056321;ZNAS.CN.;SUR-1, MORALEJA DE ENMEDIO;Calle Valdemoro, 3 ;Moraleja de Enmedio;-;28950;916094603;-;-;Público;-;
Madrid-Sur;28058861;ZNAS.CN.;SUR-10, SEVILLA LA NUEVA;Paseo Del Olivar, 3 ;Sevilla la Nueva;-;28609;918130649;-;-;Público;-;
Madrid-Sur;28060798;ZNAS.CN.;SUR-11, GETAFE;Avenida De España, 66 ;Getafe;-;28903;916825253;916834819;-;Público;-;
Madrid-Sur;28060804;ZNAS.CN.;SUR-12, ALCORCON;Calle De La Olímpica Conchita Puig, 2 ;Alcorcón;-;28923;699505630;-;-;Público;-;
Madrid-Sur;28068761;ZNAS.CN.;SUR-13 NAVALCARNERO;Calle De La Constitución, 22 ;Navalcarnero;-;28600;918113137;-;-;Público;-;
Madrid-Sur;28056333;ZNAS.CN.;SUR-2, GRIÑON;Calle De La Ermita, 3 ;Griñón;-;28971;918140728;-;-;Público;-;
Madrid-Sur;28056345;ZNAS.CN.;SUR-3, NAVAS DEL REY;Calle Vía Olímpica, 3 ;Navas del Rey;-;28695;918652521;918652348;-;Público;-;
Madrid-Sur;28056357;ZNAS.CN.;SUR-4, SAN MARTIN DE VALDEIGLESIAS;Avenida Del Ferrocarril, S/n ;San Martín de Valdeiglesias;-;28680;918612515;-;-;Público;Comedor;
Madrid-Sur;28056370;ZNAS.CN.;SUR-6, LEGANES;Calle Alcarria, S/n ;Leganés;-;28915;916804861;-;-;Público;-;
Madrid-Sur;28057386;ZNAS.CN.;SUR-7, PARLA;Calle Ataúlfo Argenta, 3 ;Parla;-;28981;916991641;-;-;Público;-;
Madrid-Sur;28057398;ZNAS.CN.;SUR-8, MOSTOLES;Calle Del Tamarindo, S/n ;Móstoles;-;28935;916476682;-;-;Público;-;
Madrid-Sur;28058858;ZNAS.CN.;SUR-9, CHAPINERIA;Calle Marqués De Villanueva De La Sagra, 1 ;Chapinería;-;28694;918010204;-;-;Público;-;
