CONSULTA DE CENTROS Y SERVICIOS EDUCATIVOS;;;;;;;;;;;;;;
AREA TERRITORIAL;CODIGO CENTRO;TIPO DE CENTRO;CENTRO;DOMICILIO;MUNICIPIO;DISTRITO MUNICIPAL;COD. POSTAL;TELEFONO;FAX;EMAIL;EMAIL2;INTEGRACION PREFERENTE;TITULARIDAD;SERVICIOS
Madrid-Sur;28037624;CP EE;ALFONSO X EL SABIO;Avenida De Portugal, 21 ;Leganés;-;28916;916865475;916806499;cpee.alfonsodecimo.leganes@educa.madrid.org;-;-;Público;Transporte,Comedor;
Madrid-Capital;28021161;CP EE;FRANCISCO DEL POZO;Callejon De Dómine, 6 ;Madrid;Fuencarral-El Pardo;28034;913584287;913580485;cpee.franciscodelpozo.madrid@educa.madrid.org;-;-;Público;Transporte,Comedor;
Madrid-Capital;28005428;CP EE;FRAY PEDRO PONCE DE LEON;Calle De Los Yébenes, 76 ;Madrid;Latina;28047;917178866;917178866;cpee.poncedeleon.madrid@educa.madrid.org;EDIFICIO TRANSICIÓN VIDA ADULTA;-;Público;Transporte,Horario ampliado,Comedor;
Madrid-Capital;28021173;CP EE;FUNDACION GOYENECHE;Calle De Arcos De Jalón, 22 ;Madrid;San Blas-Canillejas;28037;913240763;911911495;cpee.goyeneche.madrid@educa.madrid.org;-;-;Público;Transporte,Comedor;
Madrid-Este;28037818;CP EE;GUADARRAMA;Avenida De España, S/n ;Coslada;-;28821;916712793;916712793;cpee.guadarrama.coslada@educa.madrid.org;-;-;Público;Transporte,Comedor;
Madrid-Este;28080487;CP EE;IKER CASILLAS;Calle Almagro, Esquina Avda.de La Constitución, S/n ;Torrejón de Ardoz;-;28850;648942796;-;cpee.ikercasillas.torrejondeardoz@educa.madrid.org;-;-;Público;-;
Madrid-Capital;28036942;CP EE;INFANTA ELENA;Avenida De Badajoz, 76 ;Madrid;Ciudad Lineal;28027;914038345;914048312;cpee.infantaelena.madrid@educa.madrid.org;-;-;Público;Transporte,Comedor;
Madrid-Capital;28029664;CP EE;INMACULADA CONCEPCION;Calle De Saldaña, 30 ;Madrid;Carabanchel;28019;914715093;914724692;cpee.inmaculadaconcepcion.madrid@educa.madrid.org;-;-;Público;Transporte,Comedor;
Madrid-Capital;28037387;CP EE;JOAN MIRO;Avenida De Los Poblados, 183 ;Madrid;Usera;28041;913173340;913173341;cpee.joanmiro.madrid@educa.madrid.org;-;-;Público;Transporte,Comedor;
Madrid-Sur;28039323;CP EE;JUAN XXIII;Avenida De Las Comarcas, 2 ;Fuenlabrada;-;28941;916151198;916065006;cpee.juanveintitres.fuenlabrada@educa.madrid.org;-;-;Público;Transporte,Comedor;
