CONSULTA DE CENTROS Y SERVICIOS EDUCATIVOS;;;;;;;;;;;;;;
AREA TERRITORIAL;CODIGO CENTRO;TIPO DE CENTRO;CENTRO;DOMICILIO;MUNICIPIO;DISTRITO MUNICIPAL;COD. POSTAL;TELEFONO;FAX;EMAIL;EMAIL2;INTEGRACION PREFERENTE;TITULARIDAD;SERVICIOS
Madrid-Este;28042711;EOI;E.O.I. DE ALCALA DE HENARES;Calle Daoiz Y Velarde, 30 ;Alcalá de Henares;-;28807;918800398;918800393;eoi.alcala.alcala@educa.madrid.org;-;-;Público;-;
Madrid-Sur;28039712;EOI;E.O.I. DE ALCORCON;Calle Del Parque Grande, 7 ;Alcorcón;-;28925;916115312;916112866;eoi.alcorcon.alcorcon@educa.madrid.org;-;-;Público;-;
Madrid-Sur;28043284;EOI;E.O.I. DE ARANJUEZ;Calle Lucas Jordán, 4 ;Aranjuez;-;28300;918924401;918922328;eoi.aranjuez.aranjuez@educa.madrid.org;-;-;Público;-;
Madrid-Oeste;28057192;EOI;E.O.I. DE BOADILLA DEL MONTE;Calle De Victoria Eugenia De Battemberg, 10 ;Boadilla del Monte;-;28660;916322733;916321518;eoi.boadilla.boadilla@educa.madrid.org;-;-;Público;-;
Madrid-Oeste;28043296;EOI;E.O.I. DE COLLADO VILLALBA;Calle Ruiz De Alarcón, 2 ;Collado Villalba;-;28400;918513744;918506819;eoi.colladovillalba.colladovillalba@educa.madrid.org;-;-;Público;-;
Madrid-Este;28080396;EOI;E.O.I. DE COSLADA - SAN FERNANDO DE HENARES;Avenida De La Cañada, 44 ;Coslada;-;28823;916746426;-;eoi.coslada-sanfernando.coslada@educa.madrid.org;-;-;Público;-;
Madrid-Sur;28041603;EOI;E.O.I. DE FUENLABRADA;Calle Islandia, 1 ;Fuenlabrada;-;28942;916155713;916152481;eoi.fuenlabrada.fuenlabrada@educa.madrid.org;-;-;Público;-;
Madrid-Sur;28043302;EOI;E.O.I. DE GETAFE;Calle Del Hospital De San José, 22 ;Getafe;-;28901;916834820;916951045;eoi.getafe.getafe@educa.madrid.org;-;-;Público;-;
Madrid-Oeste;28041639;EOI;E.O.I. DE LAS ROZAS DE MADRID;Avenida Camino Del Caño, 2 ;Rozas de Madrid, Las;-;28231;916361936;916361066;eoi.lasrozas.lasrozas@educa.madrid.org;-;-;Público;-;
Madrid-Sur;28041627;EOI;E.O.I. DE LEGANES;Avenida Europa, 1 ;Leganés;-;28915;916800734;916801849;eoi.leganes.leganes@educa.madrid.org;-;-;Público;-;
Madrid-Capital;28039931;EOI;E.O.I. DE MADRID-CARABANCHEL;Calle De Portalegre, 52 ;Madrid;Carabanchel;28019;914695812;914602901;eoi.carabanchel.madrid@educa.madrid.org;-;-;Público;-;
Madrid-Capital;28043272;EOI;E.O.I. DE MADRID-CIUDAD LINEAL;Calle Del General Kirkpatrick ;Madrid;Ciudad Lineal;28027;913264800;914033543;eoi.ciudadlineal.madrid@educa.madrid.org;-;-;Público;-;
Madrid-Capital;28044938;EOI;E.O.I. DE MADRID-EMBAJADORES;Calle De Embajadores, 68 ;Madrid;Centro;28012;914681000;914681122;eoi.embajadores.madrid@educa.madrid.org;-;-;Público;-;
Madrid-Capital;28034431;EOI;E.O.I. DE MADRID-JESUS MAESTRO;Calle De Jesús Maestro, 5 ;Madrid;Chamberí;28003;915335802;915335331;eoi.jesusmaestro.madrid@educa.madrid.org;-;-;Público;-;
Madrid-Capital;28044926;EOI;E.O.I. DE MADRID-MORATALAZ;Calle De Valdebernardo, 3 ;Madrid;Moratalaz;28030;913711749;913711740;eoi.moratalaz.madrid@educa.madrid.org;-;-;Público;-;
Madrid-Capital;28039921;EOI;E.O.I. DE MADRID-SAN BLAS;Calle De Los Conserveros, S/n ;Madrid;San Blas-Canillejas;28037;913066979;913066894;eoi.sanblas.madrid@educa.madrid.org;-;-;Público;-;
Madrid-Capital;28044941;EOI;E.O.I. DE MADRID-TRIBUNAL;Calle De Santa Brígida, 10 ;Madrid;Centro;28004;915213286;915213420;eoi.madridtribunal.madrid@educa.madrid.org;-;-;Público;-;
Madrid-Capital;28039918;EOI;E.O.I. DE MADRID-VALDEZARZA;Calle De Fermín Caballero, 92 ;Madrid;Fuencarral-El Pardo;28035;913863098;913167216;eoi.valdezarza.madrid@educa.madrid.org;-;-;Público;-;
Madrid-Capital;28042723;EOI;E.O.I. DE MADRID-VILLAVERDE;Calle De Fernando Ortiz, 2 ;Madrid;Usera;28041;913175000;917558126;eoi.villaverde.madrid@educa.madrid.org;-;-;Público;-;
Madrid-Oeste;28042735;EOI;E.O.I. DE MAJADAHONDA;Calle Pinos, 10 ;Majadahonda;-;28220;916343600;916342976;eoi.majadahonda.majadahonda@educa.madrid.org;-;-;Público;-;
Madrid-Sur;28042747;EOI;E.O.I. DE MOSTOLES;Avenida Del Alcalde De Móstoles, 64 ;Móstoles;-;28933;916131412;916131993;eoi.mostoles.mostoles@educa.madrid.org;-;-;Público;-;
Madrid-Sur;28042759;EOI;E.O.I. DE PARLA;Calle Guadalajara, 22 ;Parla;-;28982;916984013;916055857;eoi.parla.parla@educa.madrid.org;-;-;Público;-;
Madrid-Sur;28058731;EOI;E.O.I. DE PINTO;Calle Manuel Hernández Mompo, 2 ;Pinto;-;28320;916915606;916923159;eoi.pinto.pinto@educa.madrid.org;-;-;Público;-;
Madrid-Oeste;28059309;EOI;E.O.I. DE POZUELO DE ALARCON;Avenida Juan Xxiii, 4 ;Pozuelo de Alarcón;-;28224;917152317;917153097;eoi.pozuelo.pozuelodealarcon@educa.madrid.org;-;-;Público;-;
Madrid-Este;28059310;EOI;E.O.I. DE RIVAS-VACIAMADRID;Calle De Los Picos De Urbión C/v A C/ Jaen ;Rivas-Vaciamadrid;-;28522;914990537;914990623;eoi.rivas@educa.madrid.org;-;-;Público;-;
Madrid-Norte;28042760;EOI;E.O.I. DE SAN SEBASTIAN DE LOS REYES;Pasaje La Viña, 3 ;San Sebastián de los Reyes;-;28701;916541233;916530777;eoi.sansebastian@educa.madrid.org;-;-;Público;-;
Madrid-Este;28060208;EOI;E.O.I. DE TORREJON DE ARDOZ;Calle San Fernando, S/n ;Torrejón de Ardoz;-;28850;916781064;916781249;eoi.torrejondeardoz.torrejondeardoz@educa.madrid.org;-;-;Público;-;
Madrid-Norte;28062369;EOI;E.O.I. DE TRES CANTOS;Calle Del Orégano, 1 ;Tres Cantos;-;28760;918049253;918049254;eoi.trescantos.trescantos@educa.madrid.org;-;-;Público;-;
Madrid-Sur;28043314;EOI;E.O.I. DE VALDEMORO;Calle De Cuba, 3 ;Valdemoro;-;28341;919082064;-;eoi.valdemoro.valdemoro@educa.madrid.org;-;-;Público;-;
