CONSULTA DE CENTROS Y SERVICIOS EDUCATIVOS;;;;;;;;;;;;;;
AREA TERRITORIAL;CODIGO CENTRO;TIPO DE CENTRO;CENTRO;DOMICILIO;MUNICIPIO;DISTRITO MUNICIPAL;COD. POSTAL;TELEFONO;FAX;EMAIL;EMAIL2;INTEGRACION PREFERENTE;TITULARIDAD;SERVICIOS
Madrid-Capital;28046650;E MUN.MUSICA;AGATA-VILLAVERDE;Calle Del Doctor Martín Arévalo, 2 ;Madrid;Villaverde;28021;915052693;915050635;em.agata.villaverde@educa.madrid.org;-;-;Público;-;
Madrid-Oeste;28049985;E MUN.MUSICA;ALPEDRETE;Plaza De Francisco Rabal, 2 ;Alpedrete;-;28430;918571590;918572765;em.alpedrete@educa.madrid.org;-;-;Público;-;
Madrid-Norte;28040283;E MUN.MUSICA;ANDRES SEGOVIA;Calle Mayor, 14 ;Algete;-;28110;916281736;916281736;em.andressegovia.algete@educa.madrid.org;-;-;Público;-;
Madrid-Capital;28046662;E MUN.MUSICA;ANTONIO MACHADO;Calle De Arcos De Jalón, 20 ;Madrid;San Blas-Canillejas;28037;913135302;913135303;em.machado.madrid@educa.madrid.org;-;-;Público;-;
Madrid-Este;28041159;E MUN.MUSICA;ARGANDA DEL REY;Avenida Del Ejército, 6 ;Arganda del Rey;-;28500;918711344;918716312;em.arganda@educa.madrid.org;-;-;Público;-;
Madrid-Capital;28069561;E MUN.MUSICA;ARGANZUELA;Pasaje De Tortosa, 4 ;Madrid;Arganzuela;28045;915286006;915287301;em.arganzuela.madrid@educa.madrid.org;-;-;Público;-;
Madrid-Sur;28056527;E MUN.MUSICA;ARROYOMOLINOS (ESC. MUN. MUSICA);Calle De La Iglesia, 12 ;Arroyomolinos;-;28939;916095056;916897568;em.arroyomolinos@educa.madrid.org;-;-;Público;-;
Madrid-Norte;28043764;E MUN.MUSICA;BERZOSA DEL LOZOYA;Camino De Casasola ;Berzosa del Lozoya;-;28194;918687031;918687031;eei.garabatos.alcala@educa.madrid.org;-;-;Público;-;
Madrid-Sur;28058411;E MUN.MUSICA;BRUNETE (ESC. MUN. MUSICA);Calle Del Escorial, 32 ;Brunete;-;28690;637556774;916159032;em.brunete@educa.madrid.org;-;-;Público;-;
Madrid-Norte;28046571;E MUN.MUSICA;BUITRAGO;Plaza Del Castillo, 1 ;Buitrago del Lozoya;-;28730;918681379;918680630;em.buitrago@educa.madrid.org;-;-;Público;-;
Madrid-Este;28069595;E MUN.MUSICA;CAMARMA DE ESTERUELAS;Camino De Alcalá, S/n ;Camarma de Esteruelas;-;28816;608149487;918857287;em.camarma@educa.madrid.org;-;-;Público;-;
